task,cv_strategy,model,trainable_parameters,total_parameters,train_ms_per_window,inference_ms_per_window,accuracy / macro-F1
Table-6 Arousal,recording_loo,LightGBM,,,0.0732251947585935,0.0111107696993775,0.4636 / 0.2639
Table-6 Arousal,recording_loo,SVM,,,0.8250041417572301,0.1756962823467091,0.4822 / 0.2725
Table-6 Arousal,recording_loo,MLP,8771.0,8771.0,0.2601229750250792,0.0016544486160773,0.4389 / 0.2394
Table-6 Arousal,recording_loo,GazeMAE,82563.0,2119063.0,0.2080841594198016,2.590188438541668,0.4651 / 0.2551
Table-6 Arousal,recording_loo,GCN-mean,22019.0,22019.0,16.40782512953864,0.2904394674215336,0.3430 / 0.1895
Table-6 Arousal,recording_loo,GCN-att,26244.0,26244.0,16.03908576061567,0.175298578929943,0.3597 / 0.1988
Table-6 Arousal,recording_loo,GNN v2,101143.0,101143.0,19.08267091604352,0.2110436779234538,0.4320 / 0.2268
Table-6 Arousal,subject_loo,LightGBM,,,0.0811488322674705,0.0067091056151503,0.5677 / 0.4725
Table-6 Arousal,subject_loo,SVM,,,0.8462369610653904,0.1782158339954972,0.5638 / 0.4668
Table-6 Arousal,subject_loo,MLP,8771.0,8771.0,0.2814315244240788,0.0018443878956429,0.5482 / 0.4113
Table-6 Arousal,subject_loo,GazeMAE,82563.0,2119063.0,0.247604388588592,2.5751590767045456,0.5518 / 0.4303
Table-6 Arousal,subject_loo,GCN-mean,22019.0,22019.0,18.95660678706591,0.4205641254138524,0.5017 / 0.3523
Table-6 Arousal,subject_loo,GCN-att,26244.0,26244.0,20.253800628957546,0.1680803913388955,0.5070 / 0.3477
Table-6 Arousal,subject_loo,GNN v2,101143.0,101143.0,25.07897353513377,0.2001912675142365,0.5105 / 0.3518
Table-6 Valence,recording_loo,LightGBM,,,0.0509109312365554,0.0051212434114686,0.4965 / 0.2761
Table-6 Valence,recording_loo,SVM,,,0.7943691859653486,0.1718666884518606,0.5067 / 0.2818
Table-6 Valence,recording_loo,MLP,8771.0,8771.0,0.2823721024261194,0.0016217401006489,0.4373 / 0.2565
Table-6 Valence,recording_loo,GazeMAE,82563.0,2119063.0,0.207260553407513,2.5350277125,0.4500 / 0.2566
Table-6 Valence,recording_loo,GCN-mean,22019.0,22019.0,19.183056021656583,0.1603684161038273,0.4107 / 0.2452
Table-6 Valence,recording_loo,GCN-att,26244.0,26244.0,15.917046255437322,0.1693869707323533,0.4206 / 0.2454
Table-6 Valence,recording_loo,GNN v2,101143.0,101143.0,16.180518040394112,0.199918592504304,0.3721 / 0.2226
Table-6 Valence,subject_loo,LightGBM,,,0.0640720866906203,0.0055650633028737,0.5569 / 0.5268
Table-6 Valence,subject_loo,SVM,,,0.8129264296500226,0.1747461615017878,0.5626 / 0.5348
Table-6 Valence,subject_loo,MLP,8771.0,8771.0,0.3065674373776489,0.0017655993245927,0.5513 / 0.5214
Table-6 Valence,subject_loo,GazeMAE,82563.0,2119063.0,0.2535096884576484,2.5285350454545457,0.5392 / 0.5203
Table-6 Valence,subject_loo,GCN-mean,22019.0,22019.0,18.433731573878774,0.1641829253079062,0.4928 / 0.4363
Table-6 Valence,subject_loo,GCN-att,26244.0,26244.0,18.076407648306613,0.1711539592107005,0.5126 / 0.4542
Table-6 Valence,subject_loo,GNN v2,101143.0,101143.0,23.14768460867525,0.1950530560190703,0.5041 / 0.4484
